-2.0436,-30.151,7.8593
-38.9392,3.3616,4.2134
158.1865,82.2157,4.6579
-202.3706,-100.1086,-5.0926
87.4006,-60.2595,-25.9477
-19.9878,75.9706,28.8578
-17.0882,-90.2591,21.1248
104.0758,96.242,-8.6091
-243.9909,47.0548,-27.8595
171.3404,-32.4021,25.4648
-34.4229,-26.9817,-3.5912
185.3777,1.8059,81.1956
220.8306,-114.9581,124.941
0,0,0
-81.4978,-41.6326,118.4855
202.8583,-52.8524,85.992
-6.5434,-16.2218,75.4162
253.3417,-71.5739,75.9148
3.4459,-43.3337,81.2788
190.4655,-25.9558,79.438
12.117,-13.8152,2.5926
119.5152,-13.0141,-18.5485
-71.4483,-24.9226,23.605
80.4401,-68.7793,86.9156
-298.9511,90.614,4.7005
279.1284,-8.1484,-10.6349
141.7634,1.921,96.333
-80.6173,17.6128,13.2947
99.9256,-47.333,-14.74
54.7376,45.3435,7.8104
259.8976,14.2608,-16.1497
-339.4638,-64.0747,-1.7413
2.7582,-41.8449,-14.4683
88.2539,-16.6628,-20.2549
140.5952,49.9122,43.1953
-497.3996,-66.6136,38.2905
183.9263,-15.3124,38.5754
43.8239,5.3259,-14.1462
8.9051,23.482,-18.4368
-58.0665,-71.9309,19.7028
77.6191,16.9057,-19.1558
11.0755,26.163,25.6109
54.9339,-69.6007,-18.3352
-57.5966,77.4027,14.4515
-19.7221,9.4912,3.593
267.3234,-18.0741,81.2874
23.2289,-28.8494,9.157
-208.6094,53.7204,-3.8263
310.7781,-4.6897,-8.4601
-165.7176,1.958,4.485
-55.2311,-66.9131,-26.5025
102.1432,55.3508,0.31602
-153.2245,-67.0999,15.1091
141.5593,67.8435,-1.6135
-26.2902,3.6756,-8.3565
18.0221,35.5321,4.1676
-128.3442,-11.7719,8.497
134.7584,-1.9954,-21.0889
-87.963,38.6002,5.9482
57.9118,-61.4717,23.5506
25.2791,2.3855,39.1064
45.2028,-474.9913,46.3144
-41.889,119.5305,25.0876
71.2735,-122.2294,39.7504
112.9643,-121.2301,60.9274
0,0,0
-14.4392,-223.0875,33.0549
95.7108,-112.9951,70.7435
-67.4058,-102.6956,5.2821
188.4951,-17.0044,-4.4958
-352.8743,-116.0508,-34.4816
140.937,117.6901,13.7004
71.6534,-159.3176,31.4591
-64.1831,-29.4824,21.7232
63.7087,23.0813,-33.4386
-39.24,-226.0962,57.365
-105.6188,126.0383,-24.401
313.7761,-87.1779,46.6766
-178.4767,-46.9082,-5.9836
-121.2503,55.3819,50.5152
130.6897,-19.884,-40.5214
-1.033,-40.2542,1.3395
6.1608,-32.1319,-21.2797
-334.9984,28.3958,6.8949
26.6291,-139.087,26.9928
341.5419,43.7082,-4.282
-21.6406,-0.35572,25.4286
12.7283,-42.4622,3.3859
-56.8773,34.6192,-6.6755
-93.069,-80.8121,11.0415
-24.712,147.5061,2.615
121.8314,-98.1316,-9.7721
44.1423,40.2642,-3.8889
107.011,-16.6889,-0.45773
49.3549,-168.0019,34.3652
-130.1842,31.6509,-2.0451
126.3445,8.8829,-4.202
13.6083,-89.3415,5.1336
-134.2212,90.5797,-0.69686
